ADALAR: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
ANADOLU_Y_MERKEZ: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
ATAŞEHİR: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
BEYKOZ: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
ÇEKMEKÖY: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
KADIKÖY: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
KARTAL: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
MALTEPE: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
PENDİK: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
SANCAKTEPE: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
ŞİLE: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
SULTANBEYLİ: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
TUZLA: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
ÜMRANİYE: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
ÜSKÜDAR: Kurşunsuz Benzin 95: 53.01, Motorin: 54.44, Gazyağı: 42.33, Fuel Oil: 26.49, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
ARNAVUTKÖY: Kurşunsuz Benzin 95: 53.16, Motorin: 54.56, Gazyağı: 42.33, Fuel Oil: 26.45, Yuksek Kukurtlu Fuel Oil: 22.58, Kalorifer Yakıtı: 30.79
