Adalar: K. Benzin (95 Oktan): 53.01, Motorin: 53.49, Motorin XTR: 53.49, Gazyağı: 46.62, Fuel Oil3: 28.06, Kalorifer Yakıtı: 33.18, LPG: 30.65
Arnavutköy: K. Benzin (95 Oktan): 53.21, Motorin: 53.69, Motorin XTR: 53.69, Gazyağı: 46.63, Fuel Oil3: 28.07, Kalorifer Yakıtı: 33.19, LPG: 30.65
Ataşehir: K. Benzin (95 Oktan): 53.01, Motorin: 53.49, Motorin XTR: 53.49, Gazyağı: 46.62, Fuel Oil3: 28.06, Kalorifer Yakıtı: 33.18, LPG: 30.65
Avcılar: K. Benzin (95 Oktan): 53.21, Motorin: 53.69, Motorin XTR: 53.69, Gazyağı: 46.63, Fuel Oil3: 28.07, Kalorifer Yakıtı: 33.19, LPG: 30.65
Bağcılar: K. Benzin (95 Oktan): 53.21, Motorin: 53.69, Motorin XTR: 53.69, Gazyağı: 46.63, Fuel Oil3: 28.07, Kalorifer Yakıtı: 33.19, LPG: 30.65
Bahçelievler: K. Benzin (95 Oktan): 53.21, Motorin: 53.69, Motorin XTR: 53.69, Gazyağı: 46.63, Fuel Oil3: 28.07, Kalorifer Yakıtı: 33.19, LPG: 30.65
Bakırköy: K. Benzin (95 Oktan): 53.21, Motorin: 53.69, Motorin XTR: 53.69, Gazyağı: 46.63, Fuel Oil3: 28.07, Kalorifer Yakıtı: 33.19, LPG: 30.65
Başakşehir: K. Benzin (95 Oktan): 53.21, Motorin: 53.69, Motorin XTR: 53.69, Gazyağı: 46.63, Fuel Oil3: 28.07, Kalorifer Yakıtı: 33.19, LPG: 30.65
Bayrampaşa: K. Benzin (95 Oktan): 53.21, Motorin: 53.69, Motorin XTR: 53.69, Gazyağı: 46.63, Fuel Oil3: 28.07, Kalorifer Yakıtı: 33.19, LPG: 30.65
Beşiktaş: K. Benzin (95 Oktan): 53.21, Motorin: 53.69, Motorin XTR: 53.69, Gazyağı: 46.63, Fuel Oil3: 28.07, Kalorifer Yakıtı: 33.19, LPG: 30.65
Beykoz: K. Benzin (95 Oktan): 53.01, Motorin: 53.49, Motorin XTR: 53.49, Gazyağı: 46.62, Fuel Oil3: 28.06, Kalorifer Yakıtı: 33.18, LPG: 30.65
